English,person,details,gender
he,third,,male
his,third,,male
himself,third,,male
herself,third,,female
her,third,,female
hers,third,,female
him,third,,male
she,third,,female
I,first,,
you,second,informal, singular,
your,second,informal, singular,
yours,second,informal, singular,
yourself,second,informal, singular,
it,third,,
its,third,,
itself,third,,
they,third,,
them,third,,
their,third,,
theirs,third,,
theirself,third,,
mine,first,,
we,first,exclusive,
us,first,exclusive,
our,first,exclusive,
ours,first,exclusive,
ourselves,first,exclusive,
me,first,,
my,first,,
mine,first,,
you,second,formal, singular,
your,second,formal, singular,
yours,second,formal, singular,
yourself,second,formal, singular,
yourselves,second,plural,
we,first,inclusive,
us,first,inclusive,
our,first,inclusive,
ours,first,inclusive,
ourselves,first,inclusive,
themselves,first,,
