conceptFrom,conceptTo,metaOntology,nodeType,Category 1,Category 2,Category 3,Country,First Name,Last Name,Gender,Suffix,Language,Acronym,Valence,Evaluation,Potency,Activity,Affect Mean,Military Role,Political Role,Religious Role ,,,
http://www.stopfake.org/en/fake-roshen-factory-in-lipetsk-russia-making-profits/,stopfake.org/en/fake-roshen-factory-in-lipetsk-russia-making-profits/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-roshen-produces-chocolate-putin-bars/,stopfake.org/en/fake-roshen-produces-chocolate-putin-bars/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-duma-passes-law-forbidding-russians-to-leave-country/,stopfake.org/en/fake-russian-duma-passes-law-forbidding-russians-to-leave-country/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-flag-mistakenly-flown-in-kyiv/,stopfake.org/en/fake-russian-flag-mistakenly-flown-in-kyiv/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-girl-kidnapped-and-raped-by-refugees-in-germany/,stopfake.org/en/fake-russian-girl-kidnapped-and-raped-by-refugees-in-germany/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-launch-system-proton-crashed-with-a-satellite/,stopfake.org/en/fake-russian-launch-system-proton-crashed-with-a-satellite/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-militant-motorola-killed-by-latvian-mercenary/,stopfake.org/en/fake-russian-militant-motorola-killed-by-latvian-mercenary/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-musician-killed-for-supporting-pro-russian-separatists-in-donbass/,stopfake.org/en/fake-russian-Music_ian-killed-for-supporting-pro-russian-separatists-in-donbass/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russia-not-recognized-as-aggressor-state-in-un-report/,stopfake.org/en/fake-russia-not-recognized-as-aggressor-state-in-un-report/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-security-council-secretary-wants-to-send-russian-troops-into-the-baltics/,stopfake.org/en/fake-russian-security-council-secretary-wants-to-send-russian-troops-into-the-baltics/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-soldiers-mothers-got-caught-with-american-grants/,stopfake.org/en/fake-russian-soldiers-mothers-got-caught-with-american-grants/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russian-troops-destroyed-oil-depot-in-syria/,stopfake.org/en/fake-russian-troops-destroyed-oil-depot-in-syria/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russia-s-actions-are-justified-by-international-law/,stopfake.org/en/fake-russia-s-actions-are-justified-by-international-law/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russia-sanctions-cost-ukraine-98-billion/,stopfake.org/en/fake-russia-sanctions-cost-ukraine-98-billion/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russia-sanctions-running-ukrainian-economy-into-the-ground/,stopfake.org/en/fake-russia-sanctions-running-ukrainian-economy-into-the-ground/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russia-top-importer-of-ukrainian-arms/,stopfake.org/en/fake-russia-top-importer-of-ukrainian-arms/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-russinians-demand-autonomy/,stopfake.org/en/fake-russinians-demand-autonomy/,organization,specific,newsmedia,anti-fake news,,russia,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-announces-new-foreign-policy-towards-africa/,stopfake.org/en/fake-ukraine-announces-new-foreign-policy-towards-africa/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-approves-legalization-of-same-sex-marriage-and-adoption-by-gays/,stopfake.org/en/fake-ukraine-approves-legalization-of-same-sex-marriage-and-adoption-by-gays/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-begins-hunt-for-separatists/,stopfake.org/en/fake-ukraine-begins-hunt-for-separatists/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-conceals-recordings-of-the-malaysian-boeing-flight-controllers-conversation/,stopfake.org/en/fake-ukraine-conceals-_Recordings-of-the-malaysian-boeing-flight-controllers-conversation/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-curtails-freedom-of-assembly/,stopfake.org/en/fake-ukraine-curtails-freedom-of-assembly/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-deliberately-shuts-off-water-supplies-to-occupied-luhansk/,stopfake.org/en/fake-ukraine-deliberately-shuts-off-water-supplies-to-occupied-luhansk/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-demands-compensation-from-mongolia-for-13th-century-invasion/,stopfake.org/en/fake-ukraine-demands-compensation-from-mongolia-for-13th-century-invasion/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-denied-eu-membership/,stopfake.org/en/fake-ukraine-denied-eu-membership/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-doubles-gas-consumption/,stopfake.org/en/fake-ukraine-doubles-gas-consumption/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-fears-mass-exodus-if-russian-visas-are-introduced/,stopfake.org/en/fake-ukraine-fears-mass-exodus-if-russian-visas-are-introduced/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-halts-electrical-power-to-crimea/,stopfake.org/en/fake-ukraine-halts-electrical-power-to-crimea/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-has-no-heat-organizes-public-warming-centers/,stopfake.org/en/fake-ukraine-has-no-heat-organizes-public-warming-centers/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-has-no-money-for-eurovision-2017/,stopfake.org/en/fake-ukraine-has-no-money-for-eurovision-2017/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-launches-federalization/,stopfake.org/en/fake-ukraine-launches-federalization/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-national-team-excludes-zozulya/,stopfake.org/en/fake-ukraine-national-team-excludes-zozulya/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
http://www.stopfake.org/en/fake-ukraine-on-the-verge-of-a-second-chornobyl/,stopfake.org/en/fake-ukraine-on-the-verge-of-a-second-chornobyl/,organization,specific,newsmedia,anti-fake news,,ukraine,,,,,,,,,,,,,,,,,
